id,code,head_station_sign_off_duration,head_station_sign_on_duration,name,number_of_beds,out_station_sign_off_duration,out_station_sign_on_duration
82,"TGR1",30,30,"BLOCK AND CATCH SIDING CABINE NO.1",1,30,30
83,"TGR2",30,30,"BLOCK AND CATCH SIDING CABINE NO.2",1,30,30
84,"TGR3",30,30,"BLOCK AND CATCH SIDING CABINE NO.3",1,30,30
85,"THK",30,30,"THAKURLI",1,30,30
86,"THS",30,30,"THANSIT",1,30,30
87,"TKW",30,30,"THAKURVADI",1,30,30
88,"TLA",30,30,"TITVALA",1,30,30
89,"TNA",30,30,"THANE",1,30,30
90,"TPND",30,30,"TALOJA PANCHAND",1,30,30
91,"TUH",30,30,"TURBHE",1,30,30
92,"UBCN",30,30,"ULHAS BRIDGE CABIN",1,30,30
93,"ULNR",30,30,"ULHASNAGAR",1,30,30
94,"VDLR",30,30,"VADALA ROAD BBY",1,30,30
95,"VGI",30,30,"VANGANI",1,30,30
96,"VK",30,30,"VIKHROLI",1,30,30
97,"VLDI",30,30,"VITHALWADI",1,30,30
98,"VSD",30,30,"VASIND",1,30,30
99,"VSH",30,30,"VASHI",1,30,30
100,"VVH",30,30,"VIDYAVIHAR",1,30,30
101,"WTP",30,30,"WATER PIPE",1,30,30
102,"X101",30,30,"TGR CABIN NO 1",1,30,30
103,"X102",30,30,"TGR CABIN NO 2",1,30,30
104,"X103",30,30,"TGR CABIN NO 3",1,30,30
105,"AAK",30,30,"ANKAIKILA",1,30,30
106,"ACG",30,30,"ACHEGAON",1,30,30
107,"AGQ",30,30,"ASIRGARH ROAD",1,30,30
108,"AK",30,30,"AKOLA JN",1,30,30
109,"AMI",30,30,"AMRAVATI",1,30,30
110,"ANK",30,30,"ANKAI",1,30,30
111,"AV",30,30,"ASVALI",1,30,30
112,"BAU",30,30,"BURHANPUR",1,30,30
113,"BD",30,30,"BADNERA JN",1,30,30
114,"BDI",30,30,"BHADLI",1,30,30
115,"BDWD",30,30,"BODWAD",1,30,30
116,"BFJ",30,30,"BHORAS BUDRUKH",1,30,30
117,"BGN",30,30,"BORGAON",1,30,30
118,"BIS",30,30,"BISWA BRIDGE",1,30,30
119,"BMA",30,30,"BAGMAR",1,30,30
120,"BRGJ",30,30,"BARGAON GUJAR",1,30,30
121,"BRVR",30,30,"BORVIHIR",1,30,30
122,"BSBN",30,30,"BHUSAWAL B CABIN",1,30,30
123,"BSCN",30,30,"BHUSAWAL C CABIN",1,30,30
124,"BSL",30,30,"BHUSAVAL JN",1,30,30
125,"CDI",30,30,"CHANDNI",1,30,30
126,"CNDB",30,30,"CHANDUR BAZAR",1,30,30
127,"CSN",30,30,"CHALISGAON JN",1,30,30
128,"DGN",30,30,"DONGARGAON",1,30,30
129,"DHI",30,30,"DHULE",1,30,30
130,"DSK",30,30,"DUSKHEDA",1,30,30
131,"DVL",30,30,"DEVLALI",1,30,30
132,"GAA",30,30,"GALAN",1,30,30
133,"GAO",30,30,"GAIGAON",1,30,30
134,"GO",30,30,"GHOTI",1,30,30
135,"HPR",30,30,"HIRAPUR",1,30,30
136,"HSL",30,30,"HISVAHAL",1,30,30
137,"JL",30,30,"JALGAON JN",1,30,30
138,"JM",30,30,"JALAMB JN",1,30,30
139,"JMD",30,30,"JAMDHA",1,30,30
140,"KBSN",30,30,"KASBE SUKENE",1,30,30
141,"KDK",30,30,"KOHDAD",1,30,30
142,"KJ",30,30,"KAJGAON",1,30,30
143,"KJL",30,30,"KHUMGAON BURTI",1,30,30
144,"KLHD",30,30,"KOLHADI",1,30,30
145,"KMKD",30,30,"KHAMKHED",1,30,30
146,"KNW",30,30,"KHANDWA",1,30,30
147,"KTP",30,30,"KATEPURNA",1,30,30
148,"KUM",30,30,"KURAM",1,30,30
149,"KW",30,30,"KHERVADI",1,30,30
150,"LS",30,30,"LASALGAON",1,30,30
151,"LT",30,30,"LAHAVIT",1,30,30
152,"MANA",30,30,"MANA",1,30,30
153,"MHAD",30,30,"MOHADI PRGN LNG",1,30,30
154,"MKU",30,30,"MALKAPUR",1,30,30
155,"MMR",30,30,"MANMAD JN",1,30,30
156,"MNDA",30,30,"MANDURA",1,30,30
157,"MWA",30,30,"MANDWA",1,30,30
158,"MWD",30,30,"MHASAVAD",1,30,30
159,"MWK",30,30,"MORDAD TANDA",1,30,30
160,"MYJ",30,30,"MAHEJI",1,30,30
161,"MZR",30,30,"MURTAJAPUR",1,30,30
162,"NAVI",30,30,"NEW AMRAVATI",1,30,30
163,"NB",30,30,"NIMBHORA",1,30,30
164,"NGD",30,30,"NAGARDEVLA",1,30,30
165,"NGN",30,30,"NANDGAON",1,30,30
166,"NGZ",30,30,"S K NAGJIHARI",1,30,30
167,"NI",30,30,"NAYDONGRI",1,30,30
168,"NK",30,30,"NASIK ROAD",1,30,30
169,"NN",30,30,"NANDURA",1,30,30
170,"NPNR",30,30,"NEPANAGAR",1,30,30
171,"NR",30,30,"NIPHAD",1,30,30
172,"ODHA",30,30,"ODHA",1,30,30
173,"PC",30,30,"PACHORA JN",1,30,30
174,"PHQ",30,30,"PARDHANDE",1,30,30
175,"PI",30,30,"PADLI",1,30,30
176,"PJN",30,30,"PANJHAN",1,30,30
177,"PKE",30,30,"PIMPAR KHED",1,30,30
178,"PNV",30,30,"PANEVADI",1,30,30
179,"PS",30,30,"PARAS",1,30,30
180,"RM",30,30,"RAJMANE",1,30,30
181,"RV",30,30,"RAVER",1,30,30
182,"SAV",30,30,"SAVDA",1,30,30
183,"SEG",30,30,"SHEGAON",1,30,30
184,"SHF",30,30,"SHIRUD",1,30,30
185,"SS",30,30,"SHIRSOLI",1,30,30
186,"SUM",30,30,"SUMMIT",1,30,30
187,"SXA",30,30,"SAGPHATA",1,30,30
188,"TKI",30,30,"TAKLI",1,30,30
189,"UGN",30,30,"UGAON",1,30,30
190,"VGL",30,30,"VAGHLI",1,30,30
191,"VNA",30,30,"VARANGAON",1,30,30
192,"WADO",30,30,"WADODA",1,30,30
193,"WGA",30,30,"WAGHODA",1,30,30
194,"WLGN",30,30,"WALGAON",1,30,30
195,"YAD",30,30,"YEULKHED",1,30,30
196,"AJNI",30,30,"AJNI",1,30,30
197,"AMLA",30,30,"AMLA JN",1,30,30
198,"ASTG",30,30,"ASHTEGAON",1,30,30
199,"BBTR",30,30,"BARBATPUR",1,30,30
200,"BCRD",30,30,"BARCHHI ROAD",1,30,30
201,"BNOD",30,30,"BENODA",1,30,30
202,"BOK",30,30,"BORKHEDI",1,30,30
203,"BPK",30,30,"BHUGAON",1,30,30
204,"BPQ",30,30,"BALHARSHAH",1,30,30
205,"BQM",30,30,"BARELIPAR",1,30,30
206,"BTBR",30,30,"BUTI BORI",1,30,30
207,"BUPH",30,30,"BABUPETH",1,30,30
208,"BUX",30,30,"BHANDAK",1,30,30
209,"BWRA",30,30,"BHARATWADA",1,30,30
210,"BXY",30,30,"BORDHAL",1,30,30
211,"BYS",30,30,"BARSALI",1,30,30
212,"BZU",30,30,"BETUL",1,30,30
213,"CCD",30,30,"CHICHONDA",1,30,30
214,"CD",30,30,"CHANDRAPUR",1,30,30
215,"CHJC",30,30,"CHITODA",1,30,30
216,"CKNI",30,30,"CHIKNI ROAD",1,30,30
217,"CND",30,30,"CHANDUR",1,30,30
218,"CPW",30,30,"CHOTIPADOLI",1,30,30
219,"DAE",30,30,"DAHEGAON",1,30,30
220,"DDMT",30,30,"DARIMETA",1,30,30
221,"DHQ",30,30,"DHARAKHOH",1,30,30
222,"DIP",30,30,"DIPORE",1,30,30
223,"DMN",30,30,"DHAMANGAON",1,30,30
224,"DOH",30,30,"DHODRA MOHAR",1,30,30
225,"GDKP",30,30,"GHUNDANKHAPA",1,30,30
226,"GDYA",30,30,"GHORADONGRI",1,30,30
227,"GMG",30,30,"GUMGAON",1,30,30
228,"GNQ",30,30,"GODHANI",1,30,30
229,"GNVR",30,30,"GONDWANA VISAPUR",1,30,30
230,"GNW",30,30,"GANGIWARA",1,30,30
231,"HGT",30,30,"HINGANGHAT",1,30,30
232,"HRG",30,30,"HIRDAGARH",1,30,30
233,"HTN",30,30,"HATNA PUR",1,30,30
234,"IKR",30,30,"IKLEHRA",1,30,30
235,"JKR",30,30,"JAULKHERA",1,30,30
236,"JMV",30,30,"JAMBARA",1,30,30
237,"JNO",30,30,"JUNNOR DEO",1,30,30
238,"JUH",30,30,"JUJHARPUR",1,30,30
239,"KAOT",30,30,"KAOTHA",1,30,30
240,"KATL",30,30,"KATOL",1,30,30
241,"KAYR",30,30,"KAYER",1,30,30
242,"KLBA",30,30,"KALAMBHA",1,30,30
243,"KOHL",30,30,"KOHLI",1,30,30
244,"KQE",30,30,"KALA AKHAR",1,30,30
245,"KRI",30,30,"KHAPRI",1,30,30
246,"KRTH",30,30,"KIRATGARH",1,30,30
247,"KSLA",30,30,"KESLA",1,30,30
248,"KSWR",30,30,"KALMESHWAR",1,30,30
249,"KUX",30,30,"KHIRSADOH JN",1,30,30
250,"LLD",30,30,"LALAVADI",1,30,30
251,"LNT",30,30,"LINGTI",1,30,30
252,"MALK",30,30,"MALKAPUR ROAD",1,30,30
253,"MER",30,30,"METPANJRA",1,30,30
254,"MGRD",30,30,"MAGARDOH",1,30,30
255,"MJKN",30,30,"MAJRI KHADAN",1,30,30
256,"MJRI",30,30,"MAJRI JN",1,30,30
257,"MJY",30,30,"MARAMJHIRI",1,30,30
258,"MKDN",30,30,"MARKADHANA",1,30,30
259,"MLR",30,30,"MALKHED",1,30,30
260,"MRSH",30,30,"Morshi",1,30,30
261,"MTY",30,30,"MULTAI",1,30,30
262,"MWAD",30,30,"MOWAD",1,30,30
263,"NGI",30,30,"NAGARI",1,30,30
264,"NGP",30,30,"NAGPUR",1,30,30
265,"NRKR",30,30,"NARKHER",1,30,30
266,"NVG",30,30,"NAWAGAON",1,30,30
267,"PAAL",30,30,"Pala",1,30,30
268,"PAR",30,30,"PANDHURNA",1,30,30
269,"PCLI",30,30,"PALACHAURI",1,30,30
270,"PLO",30,30,"PULGAON JN",1,30,30
271,"PMKT",30,30,"PIMPALKHUTI",1,30,30
272,"POX",30,30,"POLA-PATTHAR",1,30,30
273,"PUSA",30,30,"PUSLA",1,30,30
274,"PUX",30,30,"PARASIA",1,30,30
275,"SAHL",30,30,"SAHELI",1,30,30
276,"SEGM",30,30,"SEVAGRAM",1,30,30
277,"SLOR",30,30,"SELOO ROAD",1,30,30
278,"SNI",30,30,"SINDI",1,30,30
279,"SNKB",30,30,"SONKHAMB",1,30,30
280,"SNN",30,30,"SONEGAON",1,30,30
281,"TAE",30,30,"TADALI",1,30,30
282,"TAKU",30,30,"TAKU",1,30,30
283,"TEO",30,30,"TEEGAON",1,30,30
284,"TGP",30,30,"TULJAPUR",1,30,30
285,"TLN",30,30,"TALNI",1,30,30
286,"TMT",30,30,"TIMTALA",1,30,30
287,"TNH",30,30,"TINKHEDA",1,30,30
288,"VADR",30,30,"VARUD",1,30,30
289,"VVKN",30,30,"VIVEKANANDA NAGAR",1,30,30
290,"WANI",30,30,"WANI",1,30,30
291,"WG",30,30,"WAGHOLI",1,30,30
292,"WOC",30,30,"WARUD ORANGE CITY",1,30,30
293,"WR",30,30,"WARDHA JN",1,30,30
294,"WRR",30,30,"WARORA",1,30,30
295,"YNA",30,30,"YENOR",1,30,30
296,"ABLE",30,30,"AMBALE",1,30,30
297,"AKI",30,30,"ADARKI",1,30,30
298,"AKRD",30,30,"AKURDI",1,30,30
299,"ALN",30,30,"ALANDI",1,30,30
300,"ANQ",30,30,"AMNAPUR",1,30,30
301,"BGWI",30,30,"BEGDAEWADI",1,30,30
302,"BRMT",30,30,"BARAMATI",1,30,30
303,"BVNR",30,30,"BHAVANI NAGAR",1,30,30
304,"BVQ",30,30,"BHILAVDI",1,30,30
305,"CCH",30,30,"CHINCHVAD",1,30,30
306,"DAPD",30,30,"DAPODI",1,30,30
307,"DDAP",30,30,"DDAP",1,30,30
308,"DEHR",30,30,"DEHU ROAD",1,30,30
309,"DNJ",30,30,"DAUNDAJ",1,30,30
310,"FSG",30,30,"PHURSUNGI",1,30,30
311,"GIT",30,30,"GHORPURI TRANSHIP",1,30,30
312,"GPR",30,30,"GHORPURI",1,30,30
313,"GRMT",30,30,"GUR MARKET",1,30,30
314,"GRWD",30,30,"GHORAWADI",1,30,30
315,"HDP",30,30,"HADAPSAR",1,30,30
316,"HTK",30,30,"HATKALANGDA",1,30,30
317,"JJR",30,30,"JEJURI",1,30,30
318,"JSP",30,30,"JAYASINGPUR",1,30,30
319,"JSV",30,30,"JARANDESHWAR",1,30,30
320,"KDG",30,30,"KEDGAON",1,30,30
321,"KDTN",30,30,"KADETHAN",1,30,30
322,"KFH",30,30,"KATPHAL",1,30,30
323,"KK",30,30,"KADKI",1,30,30
324,"KMST",30,30,"KAMSHET",1,30,30
325,"KNHE",30,30,"KANHE",1,30,30
326,"KOP",30,30,"KOLHAPUR",1,30,30
327,"KOV",30,30,"KIRLOSKARVADI",1,30,30
328,"KRD",30,30,"KARAD",1,30,30
329,"KRG",30,30,"KOREGAON",1,30,30
330,"KSWD",30,30,"KASAR WADI",1,30,30
331,"KTT",30,30,"KHUTBAV",1,30,30
332,"LNN",30,30,"LONAND",1,30,30
333,"LONI",30,30,"LONI",1,30,30
334,"MDDG",30,30,"MALAD GAON",1,30,30
335,"MDVR",30,30,"MADHAVNAGAR",1,30,30
336,"MJBK",30,30,"MANJARI BUDRUK",1,30,30
337,"MRJ",30,30,"MIRAJ JN",1,30,30
338,"MSR",30,30,"MASUR",1,30,30
339,"MVL",30,30,"MALAVLI",1,30,30
340,"NDE",30,30,"NANDRE",1,30,30
341,"NIRA",30,30,"NIRA",1,30,30
342,"NMGT",30,30,"NMG TAMDALGE",1,30,30
343,"PAA",30,30,"PATAS",1,30,30
344,"PLV",30,30,"PALSI",1,30,30
345,"PMP",30,30,"PIMPRI",1,30,30
346,"PUNE",30,30,"PUNE JN",1,30,30
347,"RJW",30,30,"RAJEVADI",1,30,30
348,"RKD",30,30,"RUKADI",1,30,30
349,"RMP",30,30,"RAHIMATPUR",1,30,30
350,"SHIV",30,30,"SHINDAWANE",1,30,30
351,"SIW",30,30,"SHIRRAVDE",1,30,30
352,"SLI",30,30,"SANGLI",1,30,30
353,"SLP",30,30,"SALPA",1,30,30
354,"SLRW",30,30,"SHELARWADI",1,30,30
355,"SNE",30,30,"SHENOLI",1,30,30
356,"SSF",30,30,"SIRSUPHAL",1,30,30
357,"SSI",30,30,"SHIRSAI",1,30,30
358,"SSV",30,30,"SASVAD ROAD",1,30,30
359,"STR",30,30,"SATARA",1,30,30
360,"SVJR",30,30,"SHIVAJI NAGAR",1,30,30
361,"TAZ",30,30,"TARGAON",1,30,30
362,"TGN",30,30,"TALEGAON",1,30,30
363,"TKR",30,30,"TAKARI",1,30,30
364,"URI",30,30,"URULI",1,30,30
365,"VDN",30,30,"VADGAON",1,30,30
366,"VRB",30,30,"VISHRAMBAG",1,30,30
367,"VV",30,30,"VALIVADE",1,30,30
368,"WLH",30,30,"VALHA",1,30,30
369,"WTR",30,30,"WATHAR",1,30,30
370,"YT",30,30,"YEVAT",1,30,30
371,"AAG",30,30,"ANGAR",1,30,30
372,"AGDL",30,30,"AGRAN DHULGAON",1,30,30
373,"AKOR",30,30,"AKALKOT ROAD",1,30,30
374,"AKR",30,30,"AKOLNER",1,30,30
375,"ANG",30,30,"AHMEDNAGAR",1,30,30
376,"ARAG",30,30,"ARAG",1,30,30
377,"BALE",30,30,"BALE",1,30,30
378,"BAP",30,30,"BELAPUR",1,30,30
379,"BBD",30,30,"BABLAD",1,30,30
380,"BGVN",30,30,"BHIGWAN",1,30,30
381,"BLNI",30,30,"BHALWANI",1,30,30
382,"BLNK",30,30,"BELANKI",1,30,30
383,"BLWD",30,30,"BOLWAD",1,30,30
384,"BMNI",30,30,"BAMANI",1,30,30
385,"BOT",30,30,"BOROTI",1,30,30
386,"BRB",30,30,"BORIBIAL",1,30,30
387,"BTW",30,30,"BARSI TOWN",1,30,30
388,"BWD",30,30,"BELVANDI",1,30,30
389,"CIT",30,30,"CHITALI",1,30,30
390,"DD",30,30,"DAUND JN",1,30,30
391,"DDAM",30,30,"DAUND A CABIN",1,30,30
392,"DHS",30,30,"DHAVALAS",1,30,30
393,"DKY",30,30,"DHOKI",1,30,30
394,"DLGN",30,30,"DHALGAON",1,30,30
395,"DUD",30,30,"DUDHANI",1,30,30
396,"GDGN",30,30,"GAUDGAON",1,30,30
397,"GR",30,30,"GULBARGA",1,30,30
398,"GUR",30,30,"GANAGAPUR ROAD",1,30,30
399,"HG",30,30,"HOTGI",1,30,30
400,"HGL",30,30,"HARANGUL",1,30,30
401,"HHD",30,30,"HUNSIHADGIL",1,30,30
402,"HQR",30,30,"HIRENANDURU",1,30,30
403,"JEUR",30,30,"JEUR",1,30,30
404,"JNTR",30,30,"JINTI ROAD",1,30,30
405,"JTRD",30,30,"JATH ROAD",1,30,30
406,"JVA",30,30,"JAVALE",1,30,30
407,"KEM",30,30,"KEM",1,30,30
408,"KMRD",30,30,"KALAMB ROAD",1,30,30
409,"KNGN",30,30,"KANHEGAON",1,30,30
410,"KPG",30,30,"KOPARGAON",1,30,30
411,"KSTH",30,30,"KASHTI",1,30,30
412,"KUI",30,30,"KULALI",1,30,30
413,"KVK",30,30,"KAVATHE MAHANKL",1,30,30
414,"KWV",30,30,"KURDUVADI",1,30,30
415,"LAUL",30,30,"LAUL",1,30,30
416,"LNP",30,30,"LANGARPETH",1,30,30
417,"LUR",30,30,"LATUR",1,30,30
418,"MA",30,30,"MADHA",1,30,30
419,"MKPT",30,30,"MALIKPETH",1,30,30
420,"MLB",30,30,"MODNIMB",1,30,30
421,"MLM",30,30,"MALTHAN",1,30,30
422,"MO",30,30,"MOHOL",1,30,30
423,"MR",30,30,"MARTUR",1,30,30
424,"MRX",30,30,"MURUD",1,30,30
425,"MSDG",30,30,"Mhasoba dongargaon",1,30,30
426,"MVE",30,30,"MUNDHEWADI",1,30,30
427,"NGS",30,30,"NAGANSUR",1,30,30
428,"NNB",30,30,"NIMBLAK",1,30,30
429,"NPW",30,30,"NIPANI VADGAON",1,30,30
430,"OSA",30,30,"AUSA ROAD",1,30,30
431,"PB",30,30,"PUNTAMBA",1,30,30
432,"PDGN",30,30,"PADHEGAON",1,30,30
433,"PJR",30,30,"PANGRI",1,30,30
434,"PK",30,30,"PAKNI",1,30,30
435,"PPJ",30,30,"POPHLAJ",1,30,30
436,"PRWD",30,30,"PAREWADI",1,30,30
437,"PVR",30,30,"PANDHARPUR",1,30,30
438,"RNJD",30,30,"RANJANGAON RD",1,30,30
439,"RRI",30,30,"RAHURI",1,30,30
440,"SDB",30,30,"SHAHABAD",1,30,30
441,"SEI",30,30,"SHENDRI",1,30,30
442,"SGLA",30,30,"SANGOLA",1,30,30
443,"SGND",30,30,"SHRIGONDA ROAD",1,30,30
444,"SGRE",30,30,"SULGARE",1,30,30
445,"SNSI",30,30,"SAINAGAR SHIRDI",1,30,30
446,"SNVR",30,30,"SANVATSAR",1,30,30
447,"SRL",30,30,"SAROLA",1,30,30
448,"SUR",30,30,"SOLAPUR JN     ",1,30,30
449,"SVG",30,30,"SAWALGI",1,30,30
450,"TKMY",30,30,"TAKLIMIYA HALT",1,30,30
451,"TKWD",30,30,"TIKEKARWADI",1,30,30
452,"TLT",30,30,"TILATI",1,30,30
453,"UMD",30,30,"USMANABAD",1,30,30
454,"VBR",30,30,"VAMBORI",1,30,30
455,"VL",30,30,"VILAD",1,30,30
456,"VPR",30,30,"VISAPUR",1,30,30
457,"WADI",30,30,"WADI",1,30,30
458,"WDS",30,30,"WADSINGE",1,30,30
459,"WKA",30,30,"VAKAV",1,30,30
460,"WSB",30,30,"WASHIMBE",1,30,30
461,"WSD",30,30,"WASUD",1,30,30
462,"YL",30,30,"YEOLA",1,30,30
463,"YSI",30,30,"YEDSHI",1,30,30
464,"ANGL",30,30,"ANGUL",1,30,30
465,"ARGL",30,30,"ARGUL",1,30,30
466,"BALU",30,30,"BALUGAN",1,30,30
467,"BAM",30,30,"BERHAMPUR",1,30,30
468,"BAV",30,30,"BARUVA",1,30,30
469,"BBS",30,30,"BHUBANESWAR    ",1,30,30
470,"BDBA",30,30,"BADABANDHA ROAD",1,30,30
471,"BDKT",30,30,"BADAKHANDITA",1,30,30
472,"BDPG",30,30,"BADA PADAGAON",1,30,30
473,"BDPK",30,30,"BURHAPANKA",1,30,30
474,"BGDI",30,30,"BAGADIA PH",1,30,30
475,"BGPL",30,30,"BAGHUAPAL",1,30,30
476,"BHC",30,30,"BHADRAKH",1,30,30
477,"BNBH",30,30,"BANI BIHAR",1,30,30
478,"BNHR",30,30,"BANBIHARI - GWALIPUR",1,30,30
479,"BRAG",30,30,"BARANG",1,30,30
480,"BRMI",30,30,"BRAHMANI PH",1,30,30
481,"BRST",30,30,"BIRPURUSOTHAMPR",1,30,30
482,"BRTG",30,30,"BARITHENGARH",1,30,30
483,"BSDP",30,30,"BHUSANDPUR",1,30,30
484,"BSTP",30,30,"BASANTAPUR",1,30,30
485,"BTV",30,30,"BAITARANI ROAD",1,30,30
486,"BUDR",30,30,"BAUDPUR",1,30,30
487,"BYY",30,30,"BYREE",1,30,30
488,"BYZA",30,30,"BEGUNIA",1,30,30
489,"CAP",30,30,"CHATRAPUR",1,30,30
490,"CAPC",30,30,"CHATRAPUR COURT",1,30,30
491,"CBT",30,30,"CHARBATIA",1,30,30
492,"CLDR",30,30,"CHILIKIDARA",1,30,30
493,"CLKA",30,30,"CHILKA",1,30,30
494,"CTC",30,30,"CUTTACK",1,30,30
495,"DEG",30,30,"DELANG",1,30,30
496,"DLMH",30,30,"DHAULIMUHAN",1,30,30
497,"DLPT",30,30,"DULAKHAPATNA",1,30,30
498,"DNDL",30,30,"DANDI MAL",1,30,30
499,"DNKL",30,30,"DHENKANAL",1,30,30
500,"DNM",30,30,"DHANMANDAL",1,30,30
501,"GADH",30,30,"GOALDIH",1,30,30
502,"GAM",30,30,"GANJAM",1,30,30
503,"GBK",30,30,"GOPALPUR BALKDA",1,30,30
504,"GHNH",30,30,"GHANTIKHAL NDPR",1,30,30
505,"GJTA",30,30,"GURUDIJHATIA",1,30,30
506,"GLBA",30,30,"GOLABAI",1,30,30
507,"GNGD",30,30,"GANGADHARPUR",1,30,30
508,"GRKN",30,30,"GORAKHNATH",1,30,30
509,"GTA",30,30,"GOLANTHRA",1,30,30
510,"HCNR",30,30,"HARICHANDANPUR",1,30,30
511,"HDS",30,30,"HARIDASPUR",1,30,30
512,"HMA",30,30,"HUMMA",1,30,30
513,"HND",30,30,"HINDOL ROAD",1,30,30
514,"HPGM",30,30,"HARIPUR GRAM",1,30,30
515,"IPM",30,30,"ICHCHPURAM",1,30,30
516,"JEN",30,30,"JENAPUR",1,30,30
517,"JERD",30,30,"JENAPUR ROAD PH",1,30,30
518,"JJKR",30,30,"JAJPUR K ROAD",1,30,30
519,"JKDP",30,30,"JANKIDAIPUR",1,30,30
520,"JKPR",30,30,"JAKHAPURA",1,30,30
521,"JNP",30,30,"JAGAN NATHAPUR",1,30,30
522,"JPI",30,30,"JHADUPUDI",1,30,30
523,"JPRD",30,30,"JENAPUR ROAD PH",1,30,30
524,"JRZ",30,30,"JORANDA ROAD",1,30,30
525,"JSRD",30,30,"JHANKAD SARALA ROAD",1,30,30
526,"KAPG",30,30,"KALUPARA GHAT",1,30,30
527,"KASR",30,30,"KANAS ROAD",1,30,30
528,"KDJR",30,30,"KENDUJHARGARH ",1,30,30
529,"KDRP",30,30,"KANDARPUR HALT",1,30,30
